date,parameters,frontier_model
1950-07,40,"Theseus"
1950-08,40,"Theseus"
1950-09,40,"Theseus"
1950-10,40,"Theseus"
1950-11,40,"Theseus"
1950-12,40,"Theseus"
1951-01,40,"Theseus"
1951-02,40,"Theseus"
1951-03,40,"Theseus"
1951-04,40,"Theseus"
1951-05,40,"Theseus"
1951-06,40,"Theseus"
1951-07,40,"Theseus"
1951-08,40,"Theseus"
1951-09,40,"Theseus"
1951-10,40,"Theseus"
1951-11,40,"Theseus"
1951-12,40,"Theseus"
1952-01,40,"Theseus"
1952-02,40,"Theseus"
1952-03,40,"Theseus"
1952-04,40,"Theseus"
1952-05,40,"Theseus"
1952-06,40,"Theseus"
1952-07,40,"Theseus"
1952-08,40,"Theseus"
1952-09,40,"Theseus"
1952-10,40,"Theseus"
1952-11,40,"Theseus"
1952-12,40,"Theseus"
1953-01,40,"Theseus"
1953-02,40,"Theseus"
1953-03,40,"Theseus"
1953-04,40,"Theseus"
1953-05,40,"Theseus"
1953-06,40,"Theseus"
1953-07,40,"Theseus"
1953-08,40,"Theseus"
1953-09,40,"Theseus"
1953-10,40,"Theseus"
1953-11,40,"Theseus"
1953-12,40,"Theseus"
1954-01,40,"Theseus"
1954-02,40,"Theseus"
1954-03,40,"Theseus"
1954-04,40,"Theseus"
1954-05,40,"Theseus"
1954-06,40,"Theseus"
1954-07,40,"Theseus"
1954-08,40,"Theseus"
1954-09,40,"Theseus"
1954-10,40,"Theseus"
1954-11,40,"Theseus"
1954-12,40,"Theseus"
1955-01,40,"Theseus"
1955-02,40,"Theseus"
1955-03,225,"Self Organizing System"
1955-04,225,"Self Organizing System"
1955-05,225,"Self Organizing System"
1955-06,225,"Self Organizing System"
1955-07,225,"Self Organizing System"
1955-08,225,"Self Organizing System"
1955-09,225,"Self Organizing System"
1955-10,225,"Self Organizing System"
1955-11,225,"Self Organizing System"
1955-12,225,"Self Organizing System"
1956-01,225,"Self Organizing System"
1956-02,225,"Self Organizing System"
1956-03,225,"Self Organizing System"
1956-04,225,"Self Organizing System"
1956-05,225,"Self Organizing System"
1956-06,225,"Self Organizing System"
1956-07,225,"Self Organizing System"
1956-08,225,"Self Organizing System"
1956-09,225,"Self Organizing System"
1956-10,225,"Self Organizing System"
1956-11,225,"Self Organizing System"
1956-12,225,"Self Organizing System"
1957-01,1000,"Perceptron Mark I"
1957-02,1000,"Perceptron Mark I"
1957-03,1000,"Perceptron Mark I"
1957-04,1000,"Perceptron Mark I"
1957-05,1000,"Perceptron Mark I"
1957-06,1000,"Perceptron Mark I"
1957-07,1000,"Perceptron Mark I"
1957-08,1000,"Perceptron Mark I"
1957-09,1000,"Perceptron Mark I"
1957-10,1000,"Perceptron Mark I"
1957-11,1000,"Perceptron Mark I"
1957-12,1000,"Perceptron Mark I"
1958-01,1000,"Perceptron Mark I"
1958-02,1000,"Perceptron Mark I"
1958-03,1000,"Perceptron Mark I"
1958-04,1000,"Perceptron Mark I"
1958-05,1000,"Perceptron Mark I"
1958-06,1000,"Perceptron Mark I"
1958-07,1000,"Perceptron Mark I"
1958-08,1000,"Perceptron Mark I"
1958-09,1000,"Perceptron Mark I"
1958-10,1000,"Perceptron Mark I"
1958-11,1000,"Perceptron Mark I"
1958-12,1000,"Perceptron Mark I"
1959-01,1000,"Perceptron Mark I"
1959-02,1000,"Perceptron Mark I"
1959-03,1000,"Perceptron Mark I"
1959-04,1000,"Perceptron Mark I"
1959-05,1000,"Perceptron Mark I"
1959-06,1000,"Perceptron Mark I"
1959-07,1000,"Perceptron Mark I"
1959-08,1000,"Perceptron Mark I"
1959-09,1000,"Perceptron Mark I"
1959-10,1000,"Perceptron Mark I"
1959-11,1000,"Perceptron Mark I"
1959-12,2625,"Pattern recognition and reading by machine"
1960-01,2625,"Pattern recognition and reading by machine"
1960-02,2625,"Pattern recognition and reading by machine"
1960-03,2625,"Pattern recognition and reading by machine"
1960-04,2625,"Pattern recognition and reading by machine"
1960-05,2625,"Pattern recognition and reading by machine"
1960-06,2625,"Pattern recognition and reading by machine"
1960-07,2625,"Pattern recognition and reading by machine"
1960-08,2625,"Pattern recognition and reading by machine"
1960-09,2625,"Pattern recognition and reading by machine"
1960-10,2625,"Pattern recognition and reading by machine"
1960-11,2625,"Pattern recognition and reading by machine"
1960-12,2625,"Pattern recognition and reading by machine"
1961-01,2625,"Pattern recognition and reading by machine"
1961-02,2625,"Pattern recognition and reading by machine"
1961-03,2625,"Pattern recognition and reading by machine"
1961-04,2625,"Pattern recognition and reading by machine"
1961-05,2625,"Pattern recognition and reading by machine"
1961-06,2625,"Pattern recognition and reading by machine"
1961-07,2625,"Pattern recognition and reading by machine"
1961-08,2625,"Pattern recognition and reading by machine"
1961-09,2625,"Pattern recognition and reading by machine"
1961-10,2625,"Pattern recognition and reading by machine"
1961-11,2625,"Pattern recognition and reading by machine"
1961-12,2625,"Pattern recognition and reading by machine"
1962-01,2625,"Pattern recognition and reading by machine"
1962-02,2625,"Pattern recognition and reading by machine"
1962-03,2625,"Pattern recognition and reading by machine"
1962-04,2625,"Pattern recognition and reading by machine"
1962-05,2625,"Pattern recognition and reading by machine"
1962-06,2625,"Pattern recognition and reading by machine"
1962-07,2625,"Pattern recognition and reading by machine"
1962-08,2625,"Pattern recognition and reading by machine"
1962-09,2625,"Pattern recognition and reading by machine"
1962-10,2625,"Pattern recognition and reading by machine"
1962-11,2625,"Pattern recognition and reading by machine"
1962-12,2625,"Pattern recognition and reading by machine"
1963-01,2625,"Pattern recognition and reading by machine"
1963-02,2625,"Pattern recognition and reading by machine"
1963-03,2625,"Pattern recognition and reading by machine"
1963-04,2625,"Pattern recognition and reading by machine"
1963-05,2625,"Pattern recognition and reading by machine"
1963-06,2625,"Pattern recognition and reading by machine"
1963-07,2625,"Pattern recognition and reading by machine"
1963-08,2625,"Pattern recognition and reading by machine"
1963-09,2625,"Pattern recognition and reading by machine"
1963-10,2625,"Pattern recognition and reading by machine"
1963-11,2625,"Pattern recognition and reading by machine"
1963-12,2625,"Pattern recognition and reading by machine"
1964-01,2625,"Pattern recognition and reading by machine"
1964-02,2625,"Pattern recognition and reading by machine"
1964-03,2625,"Pattern recognition and reading by machine"
1964-04,2625,"Pattern recognition and reading by machine"
1964-05,2625,"Pattern recognition and reading by machine"
1964-06,2625,"Pattern recognition and reading by machine"
1964-07,2625,"Pattern recognition and reading by machine"
1964-08,2625,"Pattern recognition and reading by machine"
1964-09,2625,"Pattern recognition and reading by machine"
1964-10,2625,"Pattern recognition and reading by machine"
1964-11,2625,"Pattern recognition and reading by machine"
1964-12,2625,"Pattern recognition and reading by machine"
1965-01,2625,"Pattern recognition and reading by machine"
1965-02,2625,"Pattern recognition and reading by machine"
1965-03,2625,"Pattern recognition and reading by machine"
1965-04,2625,"Pattern recognition and reading by machine"
1965-05,2625,"Pattern recognition and reading by machine"
1965-06,2625,"Pattern recognition and reading by machine"
1965-07,2625,"Pattern recognition and reading by machine"
1965-08,2625,"Pattern recognition and reading by machine"
1965-09,2625,"Pattern recognition and reading by machine"
1965-10,2625,"Pattern recognition and reading by machine"
1965-11,2625,"Pattern recognition and reading by machine"
1965-12,2625,"Pattern recognition and reading by machine"
1966-01,2625,"Pattern recognition and reading by machine"
1966-02,2625,"Pattern recognition and reading by machine"
1966-03,2625,"Pattern recognition and reading by machine"
1966-04,2625,"Pattern recognition and reading by machine"
1966-05,2625,"Pattern recognition and reading by machine"
1966-06,2625,"Pattern recognition and reading by machine"
1966-07,2625,"Pattern recognition and reading by machine"
1966-08,2625,"Pattern recognition and reading by machine"
1966-09,2625,"Pattern recognition and reading by machine"
1966-10,2625,"Pattern recognition and reading by machine"
1966-11,2625,"Pattern recognition and reading by machine"
1966-12,2625,"Pattern recognition and reading by machine"
1967-01,2625,"Pattern recognition and reading by machine"
1967-02,2625,"Pattern recognition and reading by machine"
1967-03,2625,"Pattern recognition and reading by machine"
1967-04,2625,"Pattern recognition and reading by machine"
1967-05,2625,"Pattern recognition and reading by machine"
1967-06,2625,"Pattern recognition and reading by machine"
1967-07,2625,"Pattern recognition and reading by machine"
1967-08,2625,"Pattern recognition and reading by machine"
1967-09,2625,"Pattern recognition and reading by machine"
1967-10,2625,"Pattern recognition and reading by machine"
1967-11,2625,"Pattern recognition and reading by machine"
1967-12,2625,"Pattern recognition and reading by machine"
1968-01,2625,"Pattern recognition and reading by machine"
1968-02,2625,"Pattern recognition and reading by machine"
1968-03,2625,"Pattern recognition and reading by machine"
1968-04,2625,"Pattern recognition and reading by machine"
1968-05,2625,"Pattern recognition and reading by machine"
1968-06,2625,"Pattern recognition and reading by machine"
1968-07,2625,"Pattern recognition and reading by machine"
1968-08,2625,"Pattern recognition and reading by machine"
1968-09,2625,"Pattern recognition and reading by machine"
1968-10,2625,"Pattern recognition and reading by machine"
1968-11,2625,"Pattern recognition and reading by machine"
1968-12,2625,"Pattern recognition and reading by machine"
1969-01,2625,"Pattern recognition and reading by machine"
1969-02,2625,"Pattern recognition and reading by machine"
1969-03,2625,"Pattern recognition and reading by machine"
1969-04,2625,"Pattern recognition and reading by machine"
1969-05,2625,"Pattern recognition and reading by machine"
1969-06,2625,"Pattern recognition and reading by machine"
1969-07,2625,"Pattern recognition and reading by machine"
1969-08,2625,"Pattern recognition and reading by machine"
1969-09,2625,"Pattern recognition and reading by machine"
1969-10,2625,"Pattern recognition and reading by machine"
1969-11,2625,"Pattern recognition and reading by machine"
1969-12,2625,"Pattern recognition and reading by machine"
1970-01,2625,"Pattern recognition and reading by machine"
1970-02,2625,"Pattern recognition and reading by machine"
1970-03,2625,"Pattern recognition and reading by machine"
1970-04,2625,"Pattern recognition and reading by machine"
1970-05,2625,"Pattern recognition and reading by machine"
1970-06,2625,"Pattern recognition and reading by machine"
1970-07,2625,"Pattern recognition and reading by machine"
1970-08,2625,"Pattern recognition and reading by machine"
1970-09,2625,"Pattern recognition and reading by machine"
1970-10,2625,"Pattern recognition and reading by machine"
1970-11,2625,"Pattern recognition and reading by machine"
1970-12,2625,"Pattern recognition and reading by machine"
1971-01,2625,"Pattern recognition and reading by machine"
1971-02,2625,"Pattern recognition and reading by machine"
1971-03,2625,"Pattern recognition and reading by machine"
1971-04,2625,"Pattern recognition and reading by machine"
1971-05,2625,"Pattern recognition and reading by machine"
1971-06,2625,"Pattern recognition and reading by machine"
1971-07,2625,"Pattern recognition and reading by machine"
1971-08,2625,"Pattern recognition and reading by machine"
1971-09,2625,"Pattern recognition and reading by machine"
1971-10,2625,"Pattern recognition and reading by machine"
1971-11,2625,"Pattern recognition and reading by machine"
1971-12,2625,"Pattern recognition and reading by machine"
1972-01,2625,"Pattern recognition and reading by machine"
1972-02,2625,"Pattern recognition and reading by machine"
1972-03,2625,"Pattern recognition and reading by machine"
1972-04,2625,"Pattern recognition and reading by machine"
1972-05,2625,"Pattern recognition and reading by machine"
1972-06,2625,"Pattern recognition and reading by machine"
1972-07,2625,"Pattern recognition and reading by machine"
1972-08,2625,"Pattern recognition and reading by machine"
1972-09,2625,"Pattern recognition and reading by machine"
1972-10,2625,"Pattern recognition and reading by machine"
1972-11,2625,"Pattern recognition and reading by machine"
1972-12,2625,"Pattern recognition and reading by machine"
1973-01,2625,"Pattern recognition and reading by machine"
1973-02,2625,"Pattern recognition and reading by machine"
1973-03,2625,"Pattern recognition and reading by machine"
1973-04,2625,"Pattern recognition and reading by machine"
1973-05,2625,"Pattern recognition and reading by machine"
1973-06,2625,"Pattern recognition and reading by machine"
1973-07,2625,"Pattern recognition and reading by machine"
1973-08,2625,"Pattern recognition and reading by machine"
1973-09,2625,"Pattern recognition and reading by machine"
1973-10,2625,"Pattern recognition and reading by machine"
1973-11,2625,"Pattern recognition and reading by machine"
1973-12,2625,"Pattern recognition and reading by machine"
1974-01,2625,"Pattern recognition and reading by machine"
1974-02,2625,"Pattern recognition and reading by machine"
1974-03,2625,"Pattern recognition and reading by machine"
1974-04,2625,"Pattern recognition and reading by machine"
1974-05,2625,"Pattern recognition and reading by machine"
1974-06,2625,"Pattern recognition and reading by machine"
1974-07,2625,"Pattern recognition and reading by machine"
1974-08,2625,"Pattern recognition and reading by machine"
1974-09,2625,"Pattern recognition and reading by machine"
1974-10,2625,"Pattern recognition and reading by machine"
1974-11,2625,"Pattern recognition and reading by machine"
1974-12,2625,"Pattern recognition and reading by machine"
1975-01,2625,"Pattern recognition and reading by machine"
1975-02,2625,"Pattern recognition and reading by machine"
1975-03,2625,"Pattern recognition and reading by machine"
1975-04,2625,"Pattern recognition and reading by machine"
1975-05,2625,"Pattern recognition and reading by machine"
1975-06,2625,"Pattern recognition and reading by machine"
1975-07,2625,"Pattern recognition and reading by machine"
1975-08,2625,"Pattern recognition and reading by machine"
1975-09,21600,"Cognitron"
1975-10,21600,"Cognitron"
1975-11,21600,"Cognitron"
1975-12,21600,"Cognitron"
1976-01,21600,"Cognitron"
1976-02,21600,"Cognitron"
1976-03,21600,"Cognitron"
1976-04,21600,"Cognitron"
1976-05,21600,"Cognitron"
1976-06,21600,"Cognitron"
1976-07,21600,"Cognitron"
1976-08,21600,"Cognitron"
1976-09,21600,"Cognitron"
1976-10,21600,"Cognitron"
1976-11,21600,"Cognitron"
1976-12,21600,"Cognitron"
1977-01,21600,"Cognitron"
1977-02,21600,"Cognitron"
1977-03,21600,"Cognitron"
1977-04,21600,"Cognitron"
1977-05,21600,"Cognitron"
1977-06,21600,"Cognitron"
1977-07,21600,"Cognitron"
1977-08,21600,"Cognitron"
1977-09,21600,"Cognitron"
1977-10,21600,"Cognitron"
1977-11,21600,"Cognitron"
1977-12,21600,"Cognitron"
1978-01,21600,"Cognitron"
1978-02,21600,"Cognitron"
1978-03,21600,"Cognitron"
1978-04,21600,"Cognitron"
1978-05,21600,"Cognitron"
1978-06,21600,"Cognitron"
1978-07,21600,"Cognitron"
1978-08,21600,"Cognitron"
1978-09,21600,"Cognitron"
1978-10,21600,"Cognitron"
1978-11,21600,"Cognitron"
1978-12,21600,"Cognitron"
1979-01,21600,"Cognitron"
1979-02,21600,"Cognitron"
1979-03,21600,"Cognitron"
1979-04,21600,"Cognitron"
1979-05,21600,"Cognitron"
1979-06,21600,"Cognitron"
1979-07,21600,"Cognitron"
1979-08,21600,"Cognitron"
1979-09,21600,"Cognitron"
1979-10,21600,"Cognitron"
1979-11,21600,"Cognitron"
1979-12,21600,"Cognitron"
1980-01,21600,"Cognitron"
1980-02,21600,"Cognitron"
1980-03,21600,"Cognitron"
1980-04,1140576,"Neocognitron"
1980-05,1140576,"Neocognitron"
1980-06,1140576,"Neocognitron"
1980-07,1140576,"Neocognitron"
1980-08,1140576,"Neocognitron"
1980-09,1140576,"Neocognitron"
1980-10,1140576,"Neocognitron"
1980-11,1140576,"Neocognitron"
1980-12,1140576,"Neocognitron"
1981-01,1140576,"Neocognitron"
1981-02,1140576,"Neocognitron"
1981-03,1140576,"Neocognitron"
1981-04,1140576,"Neocognitron"
1981-05,1140576,"Neocognitron"
1981-06,1140576,"Neocognitron"
1981-07,1140576,"Neocognitron"
1981-08,1140576,"Neocognitron"
1981-09,1140576,"Neocognitron"
1981-10,1140576,"Neocognitron"
1981-11,1140576,"Neocognitron"
1981-12,1140576,"Neocognitron"
1982-01,1140576,"Neocognitron"
1982-02,1140576,"Neocognitron"
1982-03,1140576,"Neocognitron"
1982-04,1140576,"Neocognitron"
1982-05,1140576,"Neocognitron"
1982-06,1140576,"Neocognitron"
1982-07,1140576,"Neocognitron"
1982-08,1140576,"Neocognitron"
1982-09,1140576,"Neocognitron"
1982-10,1140576,"Neocognitron"
1982-11,1140576,"Neocognitron"
1982-12,1140576,"Neocognitron"
1983-01,1140576,"Neocognitron"
1983-02,1140576,"Neocognitron"
1983-03,1140576,"Neocognitron"
1983-04,1140576,"Neocognitron"
1983-05,1140576,"Neocognitron"
1983-06,1140576,"Neocognitron"
1983-07,1140576,"Neocognitron"
1983-08,1140576,"Neocognitron"
1983-09,1140576,"Neocognitron"
1983-10,1140576,"Neocognitron"
1983-11,1140576,"Neocognitron"
1983-12,1140576,"Neocognitron"
1984-01,1140576,"Neocognitron"
1984-02,1140576,"Neocognitron"
1984-03,1140576,"Neocognitron"
1984-04,1140576,"Neocognitron"
1984-05,1140576,"Neocognitron"
1984-06,1140576,"Neocognitron"
